minute_id,date,year,institution,keyword,context_snippet,is_climate_change,raw_response
4,2007-11-06,,Reserve Bank of Australia,coal," few months. The
						price of a barrel of WTI crude oil was now well over US$90. While part of the
						latest increase reflected the depreciation of the US dollar, the oil price
						had also risen in SDR terms. Ongoing strong global demand for coal and iron
						ore, important bulk commodity exports from Australia, suggested substantial
						increases in contract prices were likely in 2008.
					
Financial Markets

						There had been large fluctuations in sentiment in financial markets dur",False,no
5,2007-10-02,,Reserve Bank of Australia,coal,"e could be attributed to the depreciation of the
						US dollar. Oil prices had reached record high levels in the past few weeks,
						with the prices of both WTI and Tapis crude above US$80 per barrel. Spot prices
						of the bulk commodities of coal and iron ore, which are important Australian
						exports, had been strong, which suggested that the next round of contract price
						negotiations could see increases. Members noted that the outlook for commodity
						prices in general was firm.",False,No
8,2007-07-03,,Reserve Bank of Australia,coal,"he past few months from very
						high levels, with this mainly reflecting the trend in nickel prices. The latest
						expectations for next year's price increases for bulk commodity contracts
						had been revised up for both iron ore and coking coal.
					

						Oil prices had risen over the past month, to around US$70 per barrel for WTI crude.
						Members discussed the relationship between WTI and Malaysian (Tapis) crude
						prices, noting that the former was the global benchmark while th",False,no
10,2007-05-01,,Reserve Bank of Australia,coal,"he relatively modest growth in overall export volumes in the face
						of robust external demand was best understood by examining disaggregated data
						for the resources component. Members noted that while iron ore and, to a lesser
						extent, coal exports had increased rapidly in recent years, a trend decline
						in oil exports, owing to the depletion of existing oil fields, had weighed
						on the figures for total resource exports.
					

						Commodity prices had continued to rise in t",False,no
12,2007-03-06,,Reserve Bank of Australia,coal,"le and in an underlying sense the current account deficit had
						remained close to its cyclical high of about 6 per cent of GDP in
						the past few years.
					

						The latest contract prices for the bulk commodities of iron ore and steaming coal
						had increased by around 10 per cent and 5 per cent respectively,
						while prices for coking coal had declined by 15 per cent. Taking
						account of their shares in Australia's exports, the new contract prices
						would have a roughly ne",False,No
13,2007-02-06,,Reserve Bank of Australia,coal,"h in borrowing.
					

						Exports were estimated to have increased only moderately in volume terms in the December
						quarter, and by around 5 per cent over the year. Iron ore exports
						had increased steadily over the past few years, while coal exports had been
						relatively flat, with various infrastructure bottlenecks constraining growth.
						Oil exports had been on a falling trend until recently, but the opening of
						a new field had led to a pick-up in oil exports from mid 2006",False,No
15,2008-11-04,,Reserve Bank of Australia,coal,"t the demand
						for labour was slowing.
					

						Members discussed the effect of the falls in commodity prices on Australia's
						external position. Bulk commodity prices had fallen sharply in the past few
						months. Iron ore and thermal coal prices had fallen by around 60 per cent and
						40 per cent, respectively, since their peaks; spot prices were now well below
						the most recent contract prices for those commodities. Base metals prices had
						fallen significantly from their",False,No
16,2008-10-07,,Reserve Bank of Australia,coal,"rice had not been as marked in Australian
						dollar terms, as the exchange rate had generally appreciated when commodity
						prices were rising and depreciated when they fell, thereby dampening the effect
						of the US dollar price movements. Coal prices had also fallen. The premium
						between the spot thermal coal price and the most recent contract price, which
						had been close to 40 per cent around mid year, had been eroded; spot prices
						were now trading at a slight discount to ",False,no
17,2008-09-02,,Reserve Bank of Australia,coal,"ct of lower US dollar crude oil
						prices was not being felt by Australian households.
					

						Members discussed recent trends in spot commodity prices. The weakening world economy
						was weighing on commodity prices, with spot prices for coal and iron ore below
						the peaks reached in July. However, current spot prices for thermal coal were
						still well above the latest contract prices. Although refined metals and rural
						prices had fallen from the levels of a few months ago, ",False,No
18,2008-08-05,,Reserve Bank of Australia,coal,"o a small surplus in recent months. The increase in export values
						had largely reflected the higher prices, as export volumes had been little
						changed.
					

						Many commodity prices had eased somewhat over the past month. Nonetheless, coal and
						iron ore spot prices were still 30–40 per cent above the most recently
						established contract prices. The Tapis crude oil price had peaked at over US$150
						per barrel in mid July, but more recently had been trading around US$130 pe",False,no
21,2008-05-06,,Reserve Bank of Australia,coal," of Trade

						Members were briefed on the large increases in bulk commodity contract prices that
						had been agreed over the past month. In US dollar terms, there were price rises
						of 80 per cent for iron ore, over 200 per cent for coking coal and 125 per
						cent for thermal coal. Other commodity prices were also high at present. The
						price of Tapis crude oil had risen steadily so far this year, and base metals
						prices were not far below the peak reached in mid 2007 after hav",False,No
22,2008-04-01,,Reserve Bank of Australia,coal,"bserved that commodity prices had been volatile in the first quarter of
						2008. Prices for several commodities, including base metals and crude oil,
						had risen early in the year, then fluctuated below their early March peaks.
						The spot coal price had come off its peak somewhat, but the increase in the
						contract price for this year was still likely to be substantial.
					

						All up, the terms of trade were expected to increase by around 15 per cent in the
						middle of 2008,",False,No
23,2008-03-04,,Reserve Bank of Australia,coal,"8, which in January had been expected to rise
						by around 40 per cent, were now likely to rise by at least 65 per cent,
						based on a recent Japanese settlement with a Brazilian producer. A similar
						pattern was emerging in the market for coal, where the current spot price was
						more than double the 2007 contract price. Part of the pressure on coal prices
						had come from Chinese demand, as China had recently switched to being a net
						importer of coal. Negotiations over the 200",False,No
24,2008-02-05,,Reserve Bank of Australia,coal," increased
						very rapidly in the second half of 2007. As a consequence of the decline in
						base metals prices, the terms of trade had fallen somewhat in recent quarters.
						Members were informed that, with rises in new contract prices for coal and
						iron ore expected to be significant, the terms of trade were forecast to rise
						again in the first half of 2008. Thereafter, they were expected to drift lower,
						reflecting the effect of the expected slowing in world GDP growth.
		",False,No
26,2009-11-03,,Reserve Bank of Australia,coal,"asts were broadly similar to those discussed at the previous meeting.
						The outlook for commodity prices and the terms of trade had strengthened over
						recent months, and market expectations were for increases in the contract prices
						of coal and iron ore in 2010. GDP growth was expected to be close to trend
						over 2010, rising to around 3½ per cent by the end of the forecast
						period. Growth in the resources sector was expected to be strong, especially
						in the LNG industry.",False,No
27,2009-10-06,,Reserve Bank of Australia,coal,"indicated
						that the extreme caution in hiring plans earlier in the year was gradually
						being unwound. Measures of advertised job vacancies had also started to rise,
						albeit from levels well below earlier peaks.
					

						Exports of coal and iron ore were estimated to have risen significantly in the September
						quarter. Steel production outside of China had now grown by around 20 per
						cent, after a very sharp fall late in 2008. Production in China had been quicker
						to ",False,no
30,2009-07-07,,Reserve Bank of Australia,coal,"r falls being recorded in some cases.
						While the depreciation of the Australian dollar had been helpful to exporters,
						the strong performance of the Chinese economy was particularly important. Australia's
						exports of both iron ore and coal had recently rebounded after earlier large
						falls.
					

						Looking at consumption, members noted that retail sales had increased strongly in
						May and were 7 per cent higher than in September, a considerably stronger outcome
						than",False,No
31,2009-06-02,,Reserve Bank of Australia,coal,"the importance of China as a destination for Australia's exports,
						with China's share of merchandise exports rising from 5 per cent at the
						end of the 1990s to over 20 per cent now. Recently, Australian exports of iron
						ore and coking coal had benefited from increased demand from China at a time
						when other sources of demand had declined.
					

						Members noted that while measured employment had increased unexpectedly in April,
						forward indicators and information from bu",False,No
33,2009-04-07,,Reserve Bank of Australia,coal,"ecline in world
						trade had been arrested. Despite these signs of stability in external demand,
						the falls in commodity prices over 2008 meant that the terms of trade were
						forecast to fall during the period ahead, as new contracts for coal and iron
						ore came into effect. However, the expected level of the terms of trade over
						the next year or so was still relatively high.
					

						Conditions in the labour market had continued to soften. While part-time employment
						h",False,No
36,2010-12-07,,Reserve Bank of Australia,coal,"the global economy, base metals prices
						were lower over recent weeks. In contrast, the price of gold had risen. There
						had also been significant increases in the spot prices of the steel-making
						commodities, namely iron ore and coking coal, which were around 25 per
						cent and 10 per cent respectively above the December quarter contract prices,
						pointing to increases in contract prices for the March quarter. This was a
						stronger outcome than the staff had been expecting, ",False,No
37,2010-11-02,,Reserve Bank of Australia,coal,"ly
						positive, particularly for the resources sector, where the pipeline of work
						to be done was large. Members discussed developments in the LNG sector, including
						the recent investment decision on the project in Queensland to convert coal-seam
						methane to LNG. There were also positive indications for some other LNG projects
						that were still in the planning stage. Developments in the LNG sector, including
						the likely significant imported component, appeared to be broadl",False,No
41,2010-07-06,,Reserve Bank of Australia,coal,"			

						The slowing in growth in Chinese steel production had been reflected in falls in
						iron ore and steel prices. Spot prices for iron ore were now below the estimated
						contract price for the September quarter. Spot prices for coking coal had also
						eased. Nevertheless, these prices remained very high from a longer-term perspective,
						and the terms of trade were approaching the peak level seen in 2008.
					

						There were some signs that conditions in the established hous",False,No
