minute_id,date,year,institution,keyword,context_snippet,is_climate_change,raw_llm_response
118,2017-07-04,,Reserve Bank of Australia,climate change,"noted that wholesale electricity prices had risen sharply over the first half of 2017
							and that this had led to significant increases in prices for retail customers. Members
							discussed these increases in the context of efforts to address climate change and to alter
							Australia's energy mix. Concerns about energy security, reliability and costs had been
							heightened over the preceding six months or so, partly reflecting policy uncertainty and its
							effect on the investment decisions ",True,yes
137,2019-10-01,,Reserve Bank of Australia,climate change,"sed non-financial risks facing the financial system. Members noted that cyber
						risks,
						and IT risks more broadly, were increasing as technology systems become more complex and
						embedded in all
						operations. Members also noted that climate change presented a risk to financial institutions.
						While
						extreme weather events were thought unlikely to produce large losses for the financial system as
						a
						whole, at least at present, losses could be larger in future if financial in",True,yes
160,2021-10-05,,Reserve Bank of Australia,climate change,"d acute and, in recognition of this, financial regulators had been working
						with financial institutions to bolster their cyber resilience. Financial institutions and regulators were
						also continuing to work on managing financial risks from climate change.
Considerations for monetary policy
In considering the policy decision, members observed that the outbreak of the Delta variant of COVID-19 had interrupted the recovery of the Australian economy and the
						available data pointed to a material dec",True,yes
161,2021-09-07,,Reserve Bank of Australia,carbon emissions,"						movement, which had weighed on activity and been disruptive for some key ports. There was also
						uncertainty about the effects of a range of recent policy measures, including those aimed at curbing
						financial stability risks, reducing carbon emissions and achieving broader social objectives.
The price of iron ore had fallen from high levels in recent times as Chinese authorities intensified
						efforts to restrict steel production. However, prices for coal and liquefied natural gas had continue",True,Yes
161,2021-09-07,,Reserve Bank of Australia,coal," stability risks, reducing carbon emissions and achieving broader social objectives.
The price of iron ore had fallen from high levels in recent times as Chinese authorities intensified
						efforts to restrict steel production. However, prices for coal and liquefied natural gas had continued to
						increase in recent months alongside strength in industrial output in China and elsewhere, and a boost to
						electricity demand from an unseasonably warm northern hemisphere summer. As a result, Aus",True,yes
164,2021-06-01,,Reserve Bank of Australia,climate change,"formation from liaison with banks suggested that,
					while businesses' appetite to borrow had increased somewhat, many businesses had little immediate
					need to borrow and demand for credit remained uneven.
Members discussed the implications of climate change for monetary policy and the Bank's
					financial stability mandate through its effects on the economy and the financial system. Members noted
					that, both in Australia and abroad, the private sector had begun responding to climate risks in a
			",True,Yes
164,2021-06-01,,Reserve Bank of Australia,carbon emissions,"ancial product is ‘sustainable’. Members noted that
					particular taxonomies could become very influential in global financial markets, and these will have an
					important bearing on the cost and availability of financing the transition to lower carbon emissions
					for Australia.
Considerations for monetary policy
In considering the policy decision, members observed that the global economic recovery from the
				pandemic had continued and the outlook was for strong growth in output in 2021 and the followi",True,yes
164,2021-06-01,,Reserve Bank of Australia,green finance,"nomy and the financial system. Members noted
					that, both in Australia and abroad, the private sector had begun responding to climate risks in a
					number of ways, including by increasing disclosure of climate-related risks and developing
					‘green finance’ products. Central banks and financial regulators had been actively
					accounting for climate-related risks in carrying out their policy and regulatory responsibilities.
					Domestically, the Bank is working closely with other Council of Financia",True,Yes
164,2021-06-01,,Reserve Bank of Australia,climate risk,"ions of climate change for monetary policy and the Bank's
					financial stability mandate through its effects on the economy and the financial system. Members noted
					that, both in Australia and abroad, the private sector had begun responding to climate risks in a
					number of ways, including by increasing disclosure of climate-related risks and developing
					‘green finance’ products. Central banks and financial regulators had been actively
					accounting for climate-related risks in carrying out t",True,Yes
166,2021-04-06,,Reserve Bank of Australia,climate change,"bers agreed that it would be important to watch carefully for increased risk-taking by lenders and
					any deterioration in lending standards and larger shares of higher-risk loans.
Members agreed to have a broader discussion of the implications of climate change for financial
					stability in coming months.
Considerations for monetary policy
In considering the policy decision, members observed that the rollout of COVID-19 vaccines was supporting the recovery of the global economy. While the
					path ahead",True,yes
171,2022-10-04,,Reserve Bank of Australia,climate change,"f a decline in
						lending standards, it was important that lending standards remained prudent.
Finally, members discussed the Bank’s ongoing involvement in work streams addressing the financial
						stability risks associated with cybercrime and climate change. The recent cyber-attack on Optus
						underscored the importance of organisations having effective cyber resilience and recovery plans. In
						conjunction with other agencies comprising the Council of Financial Regulators, the Bank had participa",True,Yes
