climate_institution,climate_docs,climate_excerpts,climate_period,no_climate_institution,no_climate_total_minutes
European Central Bank,21,34,2020-2024,Bank of England,286
People's Bank of China,13,32,2020-2023,Central Bank of Brazil,244
Bank of Japan,12,24,2021-2024,Central Bank of Hungary,238
Reserve Bank of Australia,9,15,2017-2023,Czech National Bank,213
Sveriges Riksbank,7,12,2020-2023,Bank of Israel,195
National Bank of Poland,6,7,2012-2022,Central Bank of Iceland,121
Bank of Mexico,5,6,2018-2024,Central Bank of Chile,113
Federal Reserve,4,4,2019-2023,State Bank of Pakistan,58
National Bank of Romania,3,3,2022-2023,National Bank of Ukraine,51
Bank of Thailand,2,2,2021-2023,Reserve Bank of New Zealand,33
Central Bank of Colombia,2,2,2009-2011,Bank of Canada,10
Central Bank of Turkey,2,4,2021-2021,Bank of Russia,5
Reserve Bank of India,2,3,2021-2021,Central Bank of Nigeria,3
TOTAL,88,148,,TOTAL,1570
